"seconds","count","foodquant"
20,25,895615
20,25,895590
20,25,895565
20,25,895540
21,25,895515
21,25,895490
21,26,895464
21,26,895438
21,26,895412
21,26,895386
21,26,895360
21,26,895334
21,26,895308
21,26,895282
22,26,895256
22,26,895230
22,26,895204
22,26,895178
22,26,895152
22,26,895126
22,28,895098
22,28,895070
22,28,895042
22,28,895014
23,28,894986
23,30,894956
23,30,894926
23,30,894896
23,30,894866
23,32,894834
23,32,894802
23,32,894770
23,32,894738
24,32,894706
24,32,894674
24,33,894641
24,33,894608
24,33,894575
24,33,894542
24,33,894509
24,33,894476
24,34,894442
24,34,894408
25,34,894374
25,34,894340
25,34,894306
25,34,894272
25,34,894238
25,34,894204
26,34,894170
26,35,894135
26,35,894100
26,35,894065
26,35,894030
26,35,893995
26,35,893960
26,35,893925
26,35,893890
26,35,893855
26,35,893820
27,35,893785
27,35,893750
27,35,893715
27,35,893680
27,36,893644
27,37,893607
27,37,893570
27,37,893533
27,37,893496
28,37,893459
28,37,893422
28,37,893385
28,37,893348
28,37,893311
28,37,893274
28,38,893236
28,38,893198
28,38,893160
28,38,893122
29,38,893084
29,38,893046
29,38,893008
29,38,892970
29,38,892932
29,38,892894
29,38,892856
29,38,892818
29,38,892780
29,38,892742
30,38,892704
30,38,892666
30,38,892628
30,38,892590
30,38,892552
30,39,892513
30,39,892474
30,40,892434
30,40,892394
30,40,892354
31,40,892314
31,42,892272
31,42,892230
31,43,892187
31,43,892144
31,44,892100
31,44,892056
31,44,892012
31,45,891967
31,45,891922
32,46,891876
32,46,891830
32,46,891784
32,47,891737
32,47,891690
32,47,891643
32,47,891596
32,47,891549
32,47,891502
32,47,891455
33,47,891408
33,47,891361
33,47,891314
33,47,891267
36,47,891220
36,48,891172
36,50,891122
36,50,891072
36,50,891022
36,50,890972
36,51,890921
36,51,890870
36,51,890819
36,51,890768
36,51,890717
37,51,890666
37,51,890615
37,51,890564
37,51,890513
37,51,890462
37,51,890411
37,51,890360
37,52,890308
37,52,890256
37,52,890204
38,52,890152
38,52,890100
38,52,890048
38,52,889996
38,52,889944
38,52,889892
38,54,889838
38,54,889784
38,54,889730
38,55,889675
39,56,889619
39,56,889563
39,57,889506
39,58,889448
39,58,889390
39,58,889332
39,58,889274
39,58,889216
39,58,889158
39,58,889100
40,58,889042
40,58,888984
40,59,888925
40,59,888866
40,59,888807
40,59,888748
40,59,888689
40,59,888630
40,59,888571
40,59,888512
41,59,888453
41,61,888392
41,61,888331
41,62,888269
41,62,888207
41,63,888144
41,63,888081
41,63,888018
41,64,887954
41,64,887890
42,64,887826
42,64,887762
42,64,887698
42,64,887634
42,64,887570
42,64,887506
42,64,887442
42,64,887378
42,64,887314
43,64,887250
43,64,887186
43,65,887121
43,65,887056
43,65,886991
43,65,886926
43,66,886860
43,68,886792
43,68,886724
43,68,886656
44,69,886587
44,69,886518
44,69,886449
44,69,886380
44,69,886311
44,70,886241
44,71,886170
44,71,886099
44,71,886028
44,72,885956
45,72,885884
45,72,885812
45,72,885740
45,72,885668
45,72,885596
45,73,885523
45,74,885449
45,74,885375
45,75,885300
45,75,885225
46,75,885150
46,75,885075
46,77,884998
46,77,884921
46,77,884844
46,77,884767
46,79,884688
46,80,884608
46,82,884526
46,83,884443
47,83,884360
47,83,884277
47,83,884194
47,83,884111
47,83,884028
47,83,883945
47,83,883862
47,83,883779
47,84,883695
47,84,883611
48,85,883526
48,85,883441
48,86,883355
48,87,883268
48,88,883180
48,88,883092
48,89,883003
48,91,882912
48,92,882820
48,92,882728
49,93,882635
49,93,882542
49,93,882449
49,94,882355
49,94,882261
49,94,882167
49,95,882072
49,95,881977
49,95,881882
49,95,881787
50,95,881692
50,96,881596
50,96,881500
50,96,881404
50,96,881308
50,97,881211
50,97,881114
50,97,881017
50,98,880919
51,98,880821
51,99,880722
51,99,880623
51,101,880522
51,102,880420
51,102,880318
51,103,880215
51,105,880110
51,106,880004
51,107,879897
52,107,879790
52,108,879682
52,108,879574
52,108,879466
52,110,879356
52,111,879245
52,111,879134
52,111,879023
52,111,878912
52,113,878799
53,113,878686
53,113,878573
53,113,878460
53,116,878344
53,116,878228
53,116,878112
53,116,877996
53,117,877879
53,121,877758
53,121,877637
54,121,877516
54,121,877395
54,121,877274
54,121,877153
54,122,877031
54,124,876907
54,10,876897
54,10,876887
54,9,876878
54,5,876873
55,5,876868
55,5,876863
55,5,876858
55,5,876853
55,5,876848
55,4,876844
55,2,876842
